;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
palmer1_IMG_5160;165.46226408670196;165.63604722374043;164.25196417663324;59.82099262197431;10.258011541030806;166.63492866449832;172.7065397872192;127.58494765321359;128.93204880981725
palmer2_IMG_5165;165.63463054948275;165.1181811422968;164.1654687366041;50.27757287603238;9.366622248031694;166.1966119041495;172.25494789434018;128.00574595621856;128.7612688703847
palmer3_IMG_5170;165.82711238015116;166.37231467639032;164.3278277780457;51.00688555821689;10.18931592846222;167.15216184458234;173.3881862729338;127.35788157828932;129.19533683591965
palmer3_IMG_5175;165.65780024273408;165.45144872399402;164.31800589018562;50.25224309083148;9.153058589731225;166.4107999797275;172.55215405262277;127.83027281235712;128.80739576412108
palmer5_IMG_5180;163.9150460953575;163.912559366248;162.8972004985068;60.4128596022841;9.77292906905507;164.8999635184471;170.91251878777652;127.70918810460249;128.75514453526878
palmer6_IMG_5185;164.1123514615841;164.86268836894862;162.5453000864483;48.3448057658715;11.687328308970622;165.57680890676795;171.7657671641911;127.20598737300669;129.3544855453568
palmer7_IMG_5190;164.5275549031743;164.36918622694114;163.01916074120513;49.863497817358244;9.907300965667153;165.25082602585948;171.4118997846829;127.7684390360654;128.93546142019963
palmer1_IMG_5195;164.41145252843506;164.316353726834;163.36266760527403;49.6035706040845;8.15850079348494;165.1159536800376;171.32921726975098;127.79452384875471;128.68798007624957
palmer2_IMG_5200;164.2792811347951;164.83277489095718;162.3942086316158;54.66138599537037;12.638423157435984;165.6790651479267;171.82568063548453;127.26155610121599;129.46870328173225
palmer3_IMG_5205;164.98797135773893;165.81040861795196;162.74800389642633;56.322321552962116;13.38095526745399;166.69265073088135;172.78909772010388;127.0768440710555;129.7426810838013
