;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0841tommy_sem1_num1lado1;5.3;48.767749166110754;51.29713859434114;38.88163584432992;28.650874403815585;49.94024786818905;52.53810869541947;51.959655125441714;125.63118044515105;133.30055643879174
0843tommy_sem1_num2lado1;5.9;50.44928736746321;45.688336122985326;37.6546717078478;19.35223275783703;54.234563692686365;50.0074485400663;47.696069012647705;128.33195927472082;132.75651891166166
0845tommy_sem1_num3lado1;6.1;47.49363756149213;55.65938117843587;36.975244330556656;31.51842222817833;66.45019387116947;55.81726957712248;55.63773553929097;122.77213973018853;135.58866255695523
0847tommy_sem1_num4lado1;6.0;55.38859108338635;66.86782838618718;38.45957625330711;31.25192918904665;85.67148963928328;67.30777967342163;67.30104310983074;120.44309759753507;139.7719965718727
0849tommy_sem1_num5lado1;6.2;50.188733587877856;61.149913215116044;38.15295799803825;30.105951428252936;73.86129084317584;61.036632281598216;61.19976458388112;121.26674697071287;137.23172154017394
0851tommy_sem1_num6lado1;5.8;51.46438321047183;63.297902402125814;36.09229030246336;32.060684792716266;85.52679213334999;63.387362178498364;63.331921164480065;120.35861820099652;139.25051699490638
0853tommy_sem1_num7lado1;6.0;56.76274007869754;68.37383930874387;40.298050520094016;29.354422228279986;80.3343012575113;68.5863634492452;68.97884807229623;120.70200775129484;139.0990186434049
0855tommy_sem1_num8lado1;6.1;49.31177449295291;56.202164474752855;38.440803003458576;32.953460304667985;66.69134785563035;56.14661100535707;56.4515838077585;122.9743864764072;135.84395444202144
0961tommy_sem2_num1lado1;5.7;44.58593279890152;42.400014122940185;32.75903168813577;22.309921373620377;55.80649206267129;44.78615692032635;43.08010977456216;127.39705316257879;132.9706709527667
0963tommy_sem2_num2lado1;6.1;50.37390591463657;48.23627304695141;35.611660932365545;24.22982606585228;63.71842731170617;51.45135505420331;49.67920673624722;127.04206536687971;134.20555213979452
0965tommy_sem2_num3lado1;6.5;54.33612589166463;71.7985788816351;33.415056062313354;30.83601594357409;99.28949302205116;71.70803612656569;71.46283114452584;117.76688470874521;142.70221972256857
0967tommy_sem2_num4lado1;6.5;52.30062101593276;62.12672162511394;35.20317377471419;28.860045667763572;81.79492569686747;62.11838968259229;62.38490561116495;121.4951769109079;138.67892006901153
0969tommy_sem2_num5lado1;5.5;60.510005729981366;60.29820917005062;32.835717493882804;22.368112377710947;100.32484012090977;65.1821458410836;62.873764571635476;124.6248585112142;140.95727168178038
0971tommy_sem2_num6lado1;6.9;49.37592891884146;63.77468480062822;33.25236908760381;31.75760757314973;94.89328274135504;63.84379320814394;63.321501112715524;119.15006571741512;140.43275856673444
0973tommy_sem2_num7lado1;5.8;62.717824142551386;77.95688393730556;32.756928400460914;28.68401046319692;108.20726104950386;78.0671340005767;78.48331095427703;117.89882359152288;145.5785016114676
0975tommy_sem2_num8lado1;5.6;50.19706822009618;55.836234706193935;34.45463362617809;28.93908483896308;78.97920895522388;56.40201413900344;56.40307334129674;123.1316017282011;137.37790494893952
1081tommy_sem3_num1lado1;6.7;47.073857827459676;56.19419627309343;29.13510621007731;29.193821141911226;93.20506011805551;56.46550188909189;55.903158761221064;121.27226340070423;139.66025078738443
1083tommy_sem3_num2lado1;5.8;54.10807337690172;69.24857818601318;28.63859617705162;30.97295204566643;115.24968791646887;69.26622586876222;69.13061725665278;117.55758888482151;145.0861625808629
1085tommy_sem3_num3lado1;6.2;45.836012608307705;44.215781968721245;30.37883280639335;23.934995038315233;80.68031129977764;47.652946080851926;45.137046259617044;126.42711285076356;135.69045886395796
1087tommy_sem3_num4lado1;5.8;51.0965856970302;54.90373244908193;30.30483667421997;26.18928635964503;92.83593972787618;55.80049613395151;55.70869038409559;123.27211994285344;139.44650520784805
1089tommy_sem3_num5lado1;5.4;61.775368258198434;77.06615012388298;30.601102855612602;29.849152864598647;115.6571005019894;76.96308711792328;77.44094742314759;117.34057921157336;146.79319756836153
1091tommy_sem3_num6lado1;6.0;47.985929672602694;62.274109498112104;31.451179843081807;33.21938590353883;97.03995444053568;62.2329650603651;61.83865131809473;118.79873285185572;141.03820897523082
1093tommy_sem3_num7lado1;5.9;55.85964221460646;68.75015101081438;28.810060625876908;29.446447028423773;107.51734462825328;68.70112773708618;68.84235419609047;118.94419803404459;144.09884486800394
1095tommy_sem3_num8lado1;5.9;50.20593847065825;64.55835199680688;29.684525172230035;30.150811086353606;99.38522776901527;64.46796554968519;64.12594650250415;118.90495344755163;141.9614419297499
1201tommy_sem4_num1lado1;6.2;50.551583958375616;37.560788059216215;27.757596290650767;24.90566179166307;98.1248681227072;50.71152495485323;41.04543031083469;131.67642134415595;135.43720422474362
1203tommy_sem4_num2lado1;5.8;55.37596228922557;62.40534241016484;28.71054255385147;27.337621286421882;108.5989148165116;63.30903578879741;63.35588977879571;121.13277280842138;143.13569107837316
1205tommy_sem4_num3lado1;7.8;48.48526944628525;66.87571269618583;27.408127777367746;33.780334130069825;116.47180956957509;66.81514422979136;65.92342953945574;116.37827499266712;144.50071207024598
